genero,especie,taxon_name,url,http_status,output_file
Justicia,lythroides,Justicia lythroides,https://servicos.jbrj.gov.br/v2/flora/taxon/Justicia%20lythroides,200,Justicia_lythroides_73.json
Justicia,nodicaulis,Justicia nodicaulis,https://servicos.jbrj.gov.br/v2/flora/taxon/Justicia%20nodicaulis,200,Justicia_nodicaulis_74.json
Justicia,thunbergioides,Justicia thunbergioides,https://servicos.jbrj.gov.br/v2/flora/taxon/Justicia%20thunbergioides,200,Justicia_thunbergioides_77.json
Justicia,xipotensis,Justicia xipotensis,https://servicos.jbrj.gov.br/v2/flora/taxon/Justicia%20xipotensis,200,Justicia_xipotensis_78.json
Justicia,oblonga,Justicia oblonga,https://servicos.jbrj.gov.br/v2/flora/taxon/Justicia%20oblonga,200,Justicia_oblonga_75.json
Justicia,sarothroides,Justicia sarothroides,https://servicos.jbrj.gov.br/v2/flora/taxon/Justicia%20sarothroides,200,Justicia_sarothroides_79.json
Justicia,ramulosa,Justicia ramulosa,https://servicos.jbrj.gov.br/v2/flora/taxon/Justicia%20ramulosa,200,Justicia_ramulosa_76.json
Pachystachys,dubiosa,Pachystachys dubiosa,https://servicos.jbrj.gov.br/v2/flora/taxon/Pachystachys%20dubiosa,200,Pachystachys_dubiosa_80.json
Pachystachys,lutea,Pachystachys lutea,https://servicos.jbrj.gov.br/v2/flora/taxon/Pachystachys%20lutea,200,Pachystachys_lutea_81.json
Ruellia,affinis,Ruellia affinis,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20affinis,200,Ruellia_affinis_82.json
Ruellia,angustiflora,Ruellia angustiflora,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20angustiflora,200,Ruellia_angustiflora_83.json
Ruellia,asperula,Ruellia asperula,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20asperula,200,Ruellia_asperula_84.json
Ruellia,brevifolia,Ruellia brevifolia,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20brevifolia,200,Ruellia_brevifolia_85.json
Ruellia,elegans,Ruellia elegans,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20elegans,200,Ruellia_elegans_86.json
Ruellia,epallocaulos,Ruellia epallocaulos,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20epallocaulos,200,Ruellia_epallocaulos_87.json
Ruellia,erythropus,Ruellia erythropus,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20erythropus,200,Ruellia_erythropus_88.json
Ruellia,exserta,Ruellia exserta,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20exserta,200,Ruellia_exserta_89.json
Ruellia,geminiflora,Ruellia geminiflora,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20geminiflora,200,Ruellia_geminiflora_90.json
Ruellia,hapalotricha,Ruellia hapalotricha,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20hapalotricha,200,Ruellia_hapalotricha_91.json
Ruellia,hygrophila,Ruellia hygrophila,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20hygrophila,200,Ruellia_hygrophila_92.json
Ruellia,incomta,Ruellia incomta,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20incomta,200,Ruellia_incomta_93.json
Ruellia,jussieuoides,Ruellia jussieuoides,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20jussieuoides,200,Ruellia_jussieuoides_94.json
Ruellia,macrantha,Ruellia macrantha,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20macrantha,200,Ruellia_macrantha_95.json
Ruellia,sp.,Ruellia sp.,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20sp.,200,Ruellia_sp._100.json
Ruellia,paniculata,Ruellia paniculata,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20paniculata,200,Ruellia_paniculata_97.json
Ruellia,simplex,Ruellia simplex,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20simplex,200,Ruellia_simplex_98.json
Ruellia,solitaria,Ruellia solitaria,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20solitaria,200,Ruellia_solitaria_99.json
Ruellia,subsessilis,Ruellia subsessilis,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20subsessilis,200,Ruellia_subsessilis_101.json
Thunbergia,cf. fragrans,Thunbergia cf. fragrans,https://servicos.jbrj.gov.br/v2/flora/taxon/Thunbergia%20cf.%20fragrans,200,Thunbergia_cf._fragrans_105.json
Sanchezia,oblonga,Sanchezia oblonga,https://servicos.jbrj.gov.br/v2/flora/taxon/Sanchezia%20oblonga,200,Sanchezia_oblonga_102.json
Sanchezia,parvibracteata,Sanchezia parvibracteata,https://servicos.jbrj.gov.br/v2/flora/taxon/Sanchezia%20parvibracteata,200,Sanchezia_parvibracteata_103.json
Ruellia,multifolia,Ruellia multifolia,https://servicos.jbrj.gov.br/v2/flora/taxon/Ruellia%20multifolia,200,Ruellia_multifolia_96.json
Thunbergia,alata,Thunbergia alata,https://servicos.jbrj.gov.br/v2/flora/taxon/Thunbergia%20alata,200,Thunbergia_alata_104.json
Thunbergia,laurifolia,Thunbergia laurifolia,https://servicos.jbrj.gov.br/v2/flora/taxon/Thunbergia%20laurifolia,200,Thunbergia_laurifolia_109.json
Thunbergia,erecta,Thunbergia erecta,https://servicos.jbrj.gov.br/v2/flora/taxon/Thunbergia%20erecta,200,Thunbergia_erecta_106.json
Thunbergia,fragrans,Thunbergia fragrans,https://servicos.jbrj.gov.br/v2/flora/taxon/Thunbergia%20fragrans,200,Thunbergia_fragrans_107.json
Thunbergia,grandiflora,Thunbergia grandiflora,https://servicos.jbrj.gov.br/v2/flora/taxon/Thunbergia%20grandiflora,200,Thunbergia_grandiflora_108.json
Thunbergia,mysorensis,Thunbergia mysorensis,https://servicos.jbrj.gov.br/v2/flora/taxon/Thunbergia%20mysorensis,200,Thunbergia_mysorensis_110.json
Paepalanthus,bellus,Paepalanthus bellus,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20bellus,200,Paepalanthus_bellus_112.json
Paepalanthus,bromelioides,Paepalanthus bromelioides,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20bromelioides,200,Paepalanthus_bromelioides_114.json
Paepalanthus,caldensis,Paepalanthus caldensis,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20caldensis,200,Paepalanthus_caldensis_115.json
Paepalanthus,bifidus,Paepalanthus bifidus,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20bifidus,200,Paepalanthus_bifidus_113.json
Paepalanthus,chiquitensis,Paepalanthus chiquitensis,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20chiquitensis,200,Paepalanthus_chiquitensis_117.json
Paepalanthus,dasynema,Paepalanthus dasynema,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20dasynema,200,Paepalanthus_dasynema_118.json
Paepalanthus,albovaginatus,Paepalanthus albovaginatus,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20albovaginatus,200,Paepalanthus_albovaginatus_111.json
Paepalanthus,catharinae,Paepalanthus catharinae,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20catharinae,200,Paepalanthus_catharinae_116.json
Paepalanthus,paulensis,Paepalanthus paulensis,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20paulensis,200,Paepalanthus_paulensis_122.json
Paepalanthus,macropodus,Paepalanthus macropodus,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20macropodus,200,Paepalanthus_macropodus_121.json
Paepalanthus,pedunculatus,Paepalanthus pedunculatus,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20pedunculatus,200,Paepalanthus_pedunculatus_123.json
Paepalanthus,pulvinatus,Paepalanthus pulvinatus,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20pulvinatus,200,Paepalanthus_pulvinatus_125.json
Paepalanthus,reflexus,Paepalanthus reflexus,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20reflexus,200,Paepalanthus_reflexus_126.json
Paepalanthus,erectifolius,Paepalanthus erectifolius,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20erectifolius,200,Paepalanthus_erectifolius_120.json
Paepalanthus,tessmannii,Paepalanthus tessmannii,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20tessmannii,200,Paepalanthus_tessmannii_128.json
Paepalanthus,trichophyllus,Paepalanthus trichophyllus,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20trichophyllus,200,Paepalanthus_trichophyllus_130.json
Paepalanthus,subtilis,Paepalanthus subtilis,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20subtilis,200,Paepalanthus_subtilis_127.json
Paepalanthus,vaginatus,Paepalanthus vaginatus,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20vaginatus,200,Paepalanthus_vaginatus_131.json
Eriocaulon,arechavaletae,Eriocaulon arechavaletae,https://servicos.jbrj.gov.br/v2/flora/taxon/Eriocaulon%20arechavaletae,200,Eriocaulon_arechavaletae_132.json
Paepalanthus,tortilis,Paepalanthus tortilis,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20tortilis,200,Paepalanthus_tortilis_129.json
Eriocaulon,coniferum,Eriocaulon coniferum,https://servicos.jbrj.gov.br/v2/flora/taxon/Eriocaulon%20coniferum,200,Eriocaulon_coniferum_133.json
Eriocaulon,crassiscapum,Eriocaulon crassiscapum,https://servicos.jbrj.gov.br/v2/flora/taxon/Eriocaulon%20crassiscapum,200,Eriocaulon_crassiscapum_134.json
Eriocaulon,macrobolax,Eriocaulon macrobolax,https://servicos.jbrj.gov.br/v2/flora/taxon/Eriocaulon%20macrobolax,200,Eriocaulon_macrobolax_136.json
Eriocaulon,ligulatum,Eriocaulon ligulatum,https://servicos.jbrj.gov.br/v2/flora/taxon/Eriocaulon%20ligulatum,200,Eriocaulon_ligulatum_135.json
Echinodorus,aschersonianus,Echinodorus aschersonianus,https://servicos.jbrj.gov.br/v2/flora/taxon/Echinodorus%20aschersonianus,200,Echinodorus_aschersonianus_138.json
Eriocaulon,modestum,Eriocaulon modestum,https://servicos.jbrj.gov.br/v2/flora/taxon/Eriocaulon%20modestum,200,Eriocaulon_modestum_137.json
Paepalanthus,planifolius,Paepalanthus planifolius,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20planifolius,200,Paepalanthus_planifolius_124.json
Echinodorus,cylindricus,Echinodorus cylindricus,https://servicos.jbrj.gov.br/v2/flora/taxon/Echinodorus%20cylindricus,200,Echinodorus_cylindricus_139.json
Paepalanthus,elongatus,Paepalanthus elongatus,https://servicos.jbrj.gov.br/v2/flora/taxon/Paepalanthus%20elongatus,200,Paepalanthus_elongatus_119.json
Echinodorus,glaucus,Echinodorus glaucus,https://servicos.jbrj.gov.br/v2/flora/taxon/Echinodorus%20glaucus,200,Echinodorus_glaucus_140.json
Echinodorus,longipetalus,Echinodorus longipetalus,https://servicos.jbrj.gov.br/v2/flora/taxon/Echinodorus%20longipetalus,200,Echinodorus_longipetalus_143.json
Echinodorus,grisebachii,Echinodorus grisebachii,https://servicos.jbrj.gov.br/v2/flora/taxon/Echinodorus%20grisebachii,200,Echinodorus_grisebachii_142.json
Alternanthera,adscendens,Alternanthera adscendens,https://servicos.jbrj.gov.br/v2/flora/taxon/Alternanthera%20adscendens,200,Alternanthera_adscendens_147.json
Echinodorus,macrophyllus,Echinodorus macrophyllus,https://servicos.jbrj.gov.br/v2/flora/taxon/Echinodorus%20macrophyllus,200,Echinodorus_macrophyllus_144.json
Echinodorus,subalatus,Echinodorus subalatus,https://servicos.jbrj.gov.br/v2/flora/taxon/Echinodorus%20subalatus,200,Echinodorus_subalatus_145.json
Alternanthera,martii,Alternanthera martii,https://servicos.jbrj.gov.br/v2/flora/taxon/Alternanthera%20martii,200,Alternanthera_martii_150.json
Alternanthera,littoralis,Alternanthera littoralis,https://servicos.jbrj.gov.br/v2/flora/taxon/Alternanthera%20littoralis,200,Alternanthera_littoralis_149.json
Bomarea,edulis,Bomarea edulis,https://servicos.jbrj.gov.br/v2/flora/taxon/Bomarea%20edulis,200,Bomarea_edulis_146.json
Alternanthera,micrantha,Alternanthera micrantha,https://servicos.jbrj.gov.br/v2/flora/taxon/Alternanthera%20micrantha,200,Alternanthera_micrantha_151.json
Alternanthera,brasiliana,Alternanthera brasiliana,https://servicos.jbrj.gov.br/v2/flora/taxon/Alternanthera%20brasiliana,200,Alternanthera_brasiliana_148.json
Alternanthera,praelonga,Alternanthera praelonga,https://servicos.jbrj.gov.br/v2/flora/taxon/Alternanthera%20praelonga,200,Alternanthera_praelonga_152.json
Alternanthera,rufa,Alternanthera rufa,https://servicos.jbrj.gov.br/v2/flora/taxon/Alternanthera%20rufa,200,Alternanthera_rufa_154.json
Alternanthera,pubiflora,Alternanthera pubiflora,https://servicos.jbrj.gov.br/v2/flora/taxon/Alternanthera%20pubiflora,200,Alternanthera_pubiflora_153.json
Alternanthera,tenella,Alternanthera tenella,https://servicos.jbrj.gov.br/v2/flora/taxon/Alternanthera%20tenella,200,Alternanthera_tenella_155.json
Amaranthus,graecizans,Amaranthus graecizans,https://servicos.jbrj.gov.br/v2/flora/taxon/Amaranthus%20graecizans,200,Amaranthus_graecizans_157.json
Amaranthus,caudatus,Amaranthus caudatus,https://servicos.jbrj.gov.br/v2/flora/taxon/Amaranthus%20caudatus,200,Amaranthus_caudatus_156.json
Amaranthus,hybridus,Amaranthus hybridus,https://servicos.jbrj.gov.br/v2/flora/taxon/Amaranthus%20hybridus,200,Amaranthus_hybridus_158.json
Amaranthus,spinosus,Amaranthus spinosus,https://servicos.jbrj.gov.br/v2/flora/taxon/Amaranthus%20spinosus,200,Amaranthus_spinosus_159.json
Amaranthus,viridis,Amaranthus viridis,https://servicos.jbrj.gov.br/v2/flora/taxon/Amaranthus%20viridis,200,Amaranthus_viridis_160.json
