NUM_IDENTIFICADOR | NOME
259 | W.M. Ferreira
260 | D.F. Souza
261 | E.F.S. Rossetto
262 | T.H. Aguiar
263 | M.C. Lovato
264 | G.M. Ferreira
265 | S.L. Jung-Mendaçolli
266 | D. Kremer
267 | V.M. Cotarelli & E.F.S. Rosseto
268 | R. Barreto
269 | M. Fritsch
270 | J.S. Carneiro & A.O.S. Vieira
271 | J. Cordeiro & G. Felitto
272 | B.K. Canestraro & G. Felitto
273 | J. Cordeiro & J. Mello
274 | E. Barboza & B.K. Canestraro
275 | B.K. Canestraro & J. Mello
276 | J. Cordeiro & C.A. Fagundes-Filho
277 | E. Barboza & C.A. Fagundes-Filho
278 | M.A. Lizarazu
279 | M.F. Santos
280 | E.K.O. Hattori
281 | A. Gardner
282 | R. Andreata
283 | J.S. Carneiro
284 | H.M. Longhi-Wagner
285 | G. Felitto & J. Cordeiro
286 | G. Felitto & E. Barbosa
287 | L.G. Lohmann
288 | J.C. Lopes
289 | F.L.R. Filardi
290 | L. Amorim
291 | L. Amorim Neto
292 | E.D. Lozano
293 | L.A. Acra
294 | T.M. Pedersen
295 | W.D. Clayton
296 | B.K. Canestraro
297 | W. Hoehne
298 | M. Vaio
299 | M. Morales
300 | C.S. Caires
301 | E.D.Lozano & E.Barbosa
302 | E.D. Lozano & O.S. Ribas
303 | E.D. Lozano & J. Cordeiro
304 | M.M. Saavedra
305 | M.E. Engels
306 | M.A. Carniello
307 | O.L.M. Silva
308 | L. Rocha
309 | J.Prado
310 | E. Barboza & G. Felitto
311 | Herter
312 | L. Sylvestre
313 | Hoehne
314 | J. Lovo
315 | M.G.L. Wanderley
316 | S. Dreveck
317 | M.L. Guedes
318 | R. Wasum & F. Gonzatti
319 | P. Bohrer
320 | A.C. Picoli
321 | E.C. Nardin
322 | J. Cordeiro & E. dos Santos
323 | J. Cordeiro & P.Bohrer
324 | J. Cordeiro & A.C. Picoli
325 | E. Barboza & E. dos Santos
326 | E. Barboza & A.C. Picoli
327 | J. Cordeiro, L. Petri & M. de Castro
328 | A.C. Picoli & P. Bohrer
329 | E. Barboza & R.C. Silva
330 | R.C. Silva
331 | E. Barboza & E.C. Nardin
332 | J. Cordeiro & E.C. Nardin
333 | J. Cordeiro & R.C. Silva
334 | E. Barboza & P. Bohrer
335 | L.H.O. Viana
336 | F.M.Leme & A.L.B.Sartori
337 | G.A. Damasceno-Júnior
338 | S.V. Boff
339 | A. Guglieri
340 | R.H. Silva
341 | G.A. Damasceno-Júnior & A.Pott
342 | R.F. Monteiro
343 | J.S. Silva
344 | C.B. Silva
345 | F.M. Leme
346 | R.B. Rodrigues
347 | A. Pott & G.A. Damasceno-Junior
348 | G.S. Siqueira
349 | C.N. da Cunha
350 | A.R. Mello
351 | O. Henrique da Silva
352 | M.V. Martins
353 | J. Cordeiro & P.Larocca
354 | J. Cordeiro & C.C.Faria
355 | P.J.S. Silva Filho
356 | M.M.L. Martins
357 | E.C. Smidt
358 | M. Caddah
359 | F.S. Meyer
360 | J. Meirelles
361 | R.F. Almeida
362 | A. Francener
363 | Ma.C.Souza
364 | L.F. Vianna
365 | M.L. Brotto & P.Bohrer
366 | J. Cordeiro & E.L. dos Santos
367 | P. Larocca
368 | R. Fiaschi
369 | M.D. Bünger
370 | M. Grizzon
371 | C. Michelon
372 | V. Ariati
373 | M. Selusniaki
374 | D.P. Saridakis
375 | B.K. Canestraro & C. Michelon
376 | M.R. Lima
377 | J. Dias
378 | E. Adenesky-Filho
379 | T. Bochorny
380 | R.A. Bonaldi
381 | D.C. Imig
382 | G. Felitto
383 | P.P.A. Ferreira & G.A. Dettke
384 | F.F.F. Mazziero
385 | C.V. Buturi
386 | P.P.A. Ferreira & R.Simão-Bianchini
387 | C.T. Rizzini
388 | S. Sousa Silva
389 | M. Aparecida da Silva
390 | F.S. Espírito-Santo
391 | C.E. Carneiro
392 | L.V. Lima
393 | J.S. Sousa
394 | C.R. Buzzato
395 | C.T. Oliveira
396 | A.C. Fernandes
397 | J. Cordeiro & A.C. Lima
398 | P.T.P. Leite
399 | L.H.M. Fonseca
400 | M.G. Silva
401 | R.D. Sartin
402 | A.L. de Gasper
403 | F. Hubeth
404 | A.S. Pinedo
405 | C.U.O. Eugênio
406 | C.B.R. Munhoz
407 | J.I.M. Melo
408 | J.A. Lombardi
409 | M.C. Duarte
410 | M. Cláudio Silva Jr.
411 | F. França
412 | T. Mello
413 | E.J. Lima
414 | M. Carvalho-Silva
415 | J.L.M. Aranha Filho
416 | R. Callejas Posada
417 | C.T. Blum
418 | R.S. Vieira
419 | Y.S. Kuniyoshi
420 | C.V. Roderjan
421 | M.B. Scheer
422 | R.R. Völtz
423 | A.O. Ribeiro
424 | A.S. de Mello
425 | A.A. Carpanezzi & R.R. Völtz
426 | F. Galvão
427 | P.M. Hoffmann
428 | S.M. Silva
429 | W. Maschio
430 | R.S. Vieira & R.R. Völtz
431 | R.S. Vieira & A. Dunaiski Jr.
432 | C.T. Blum & R.R. Völtz
433 | A.C. Nogueira
434 | I. Vattimo Gil
435 | P.E.R. Carvalho
436 | A.A. Carpanezzi
437 | G. Tiepolo
438 | O.M.R. Bizarro & C.T. Blum
439 | M.N. Saka
440 | K. Fidanza
441 | R. Coraiola
442 | T.F. Santos
443 | L.M. Borges
444 | E. Camargo
445 | P.G. Windisch
446 | L.L. Giacomin
447 | M.J. Silva
448 | J.E.Q. Faria Júnior
449 | M.R. Ritter
450 | W.J. Dress
451 | E. Barboza & P. Larocca
452 | L. Moura
453 | R.S. Cowan
454 | A.P.G. de Farias
455 | F. Gonzatti
456 | C.S.L.B. Correia
457 | Chengyong Guo
458 | B. Chiavegatto
459 | E.D. Lozano & C. Michelon
460 | M. Verdi
