NUM_TOMBO | SEQUENCIA | FOTO | DESCRICAO | COD_BARRA | NUM_BARRA
17708.0 | 1 | None | None | HCF000000117 | 117.0
12427.0 | 1 | None | None | HCF000000118 | 118.0
9667.0 | 1 | None | None | HCF000000119 | 119.0
7129.0 | 1 | None | None | HCF000000120 | 120.0
5130.0 | 1 | None | None | HCF000000121 | 121.0
356.0 | 1 | None | None | HCF000000122 | 122.0
18629.0 | 1 | None | None | HCF000000123 | 123.0
10181.0 | 1 | None | None | HCF000000124 | 124.0
4188.0 | 1 | None | None | HCF000000125 | 125.0
2912.0 | 1 | None | None | HCF000000126 | 126.0
2957.0 | 1 | None | None | HCF000000127 | 127.0
906.0 | 1 | None | None | HCF000000128 | 128.0
161.0 | 1 | None | None | HCF000000129 | 129.0
9332.0 | 1 | None | None | HCF000000130 | 130.0
13590.0 | 1 | None | None | HCF000000131 | 131.0
19596.0 | 1 | None | None | HCF000000132 | 132.0
19597.0 | 1 | None | None | HCF000000133 | 133.0
19598.0 | 1 | None | None | HCF000000134 | 134.0
19599.0 | 1 | None | None | HCF000000135 | 135.0
19600.0 | 1 | None | None | HCF000000136 | 136.0
19601.0 | 1 | None | None | HCF000000137 | 137.0
19602.0 | 1 | None | None | HCF000000138 | 138.0
19603.0 | 1 | None | None | HCF000000139 | 139.0
19604.0 | 1 | None | None | HCF000000140 | 140.0
5572.0 | 1 | None | None | HCF000000141 | 141.0
5821.0 | 1 | None | None | HCF000000142 | 142.0
5351.0 | 1 | None | None | HCF000000150 | 150.0
6960.0 | 1 | None | None | HCF000000151 | 151.0
10864.0 | 1 | None | None | HCF000000143 | 143.0
12921.0 | 1 | None | None | HCF000000144 | 144.0
11125.0 | 1 | None | None | HCF000000145 | 145.0
18918.0 | 1 | None | None | HCF000000146 | 146.0
725.0 | 1 | None | None | HCF000000147 | 147.0
737.0 | 1 | None | None | HCF000000148 | 148.0
1951.0 | 1 | None | None | HCF000000149 | 149.0
7524.0 | 1 | None | None | HCF000000152 | 152.0
7675.0 | 1 | None | None | HCF000000153 | 153.0
7985.0 | 1 | None | None | HCF000000154 | 154.0
9588.0 | 1 | None | None | HCF000000155 | 155.0
9622.0 | 1 | None | None | HCF000000156 | 156.0
13958.0 | 1 | None | None | HCF000000157 | 157.0
16300.0 | 1 | None | None | HCF000000158 | 158.0
16437.0 | 1 | None | None | HCF000000159 | 159.0
17185.0 | 1 | None | None | HCF000000160 | 160.0
17261.0 | 1 | None | None | HCF000000161 | 161.0
5288.0 | 1 | None | None | HCF000000162 | 162.0
8976.0 | 1 | None | None | HCF000000163 | 163.0
10883.0 | 1 | None | None | HCF000000164 | 164.0
5061.0 | 1 | None | None | HCF000000165 | 165.0
11658.0 | 1 | None | None | HCF000000166 | 166.0
13845.0 | 1 | None | None | HCF000000167 | 167.0
16529.0 | 1 | None | None | HCF000000168 | 168.0
16585.0 | 1 | None | None | HCF000000169 | 169.0
8863.0 | 1 | None | None | HCF000000170 | 170.0
360.0 | 1 | None | None | HCF000000171 | 171.0
379.0 | 1 | None | None | HCF000000172 | 172.0
3063.0 | 1 | None | None | HCF000000173 | 173.0
3072.0 | 1 | None | None | HCF000000174 | 174.0
3125.0 | 1 | None | None | HCF000000175 | 175.0
3176.0 | 1 | None | None | HCF000000176 | 176.0
6459.0 | 1 | None | None | HCF000000177 | 177.0
8102.0 | 1 | None | None | HCF000000178 | 178.0
8349.0 | 1 | None | None | HCF000000179 | 179.0
9205.0 | 1 | None | None | HCF000000180 | 180.0
10068.0 | 1 | None | None | HCF000000181 | 181.0
10193.0 | 1 | None | None | HCF000000182 | 182.0
11001.0 | 1 | None | None | HCF000000183 | 183.0
12439.0 | 1 | None | None | HCF000000184 | 184.0
12699.0 | 1 | None | None | HCF000000185 | 185.0
12683.0 | 1 | None | None | HCF000000186 | 186.0
12690.0 | 1 | None | None | HCF000000187 | 187.0
12838.0 | 1 | None | None | HCF000000188 | 188.0
13339.0 | 1 | None | None | HCF000000189 | 189.0
13478.0 | 1 | None | None | HCF000000190 | 190.0
14434.0 | 1 | None | None | HCF000000191 | 191.0
14897.0 | 1 | None | None | HCF000000192 | 192.0
14936.0 | 1 | None | None | HCF000000193 | 193.0
14984.0 | 1 | None | None | HCF000000194 | 194.0
15101.0 | 1 | None | None | HCF000000195 | 195.0
17085.0 | 1 | None | None | HCF000000196 | 196.0
17712.0 | 1 | None | None | HCF000000197 | 197.0
17871.0 | 1 | None | None | HCF000000198 | 198.0
18056.0 | 1 | None | None | HCF000000199 | 199.0
18285.0 | 1 | None | None | HCF000000200 | 200.0
18649.0 | 1 | None | None | HCF000000201 | 201.0
19378.0 | 1 | None | None | HCF000000202 | 202.0
19087.0 | 1 | None | None | HCF000000203 | 203.0
18792.0 | 1 | None | None | HCF000000204 | 204.0
10948.0 | 1 | None | None | HCF000000205 | 205.0
8479.0 | 1 | None | None | HCF000000206 | 206.0
7633.0 | 1 | None | None | HCF000000207 | 207.0
6482.0 | 1 | None | None | HCF000000208 | 208.0
4761.0 | 1 | None | None | HCF000000209 | 209.0
13600.0 | 1 | None | None | HCF000000210 | 210.0
16594.0 | 1 | None | None | HCF000000211 | 211.0
