codigo;local;regiao_do_local;cidade;estado;pais
1321;"estrada Jangada-Barra do Bugres,ao longo";"da MT-246";Curupira;MT;Brasil
1327;"próximo ao matadouro";NULL;"Sâo Vicente";SP;Brasil
1328;Guarda;NULL;Grisons;" ";Suiça
1350;"Piatã, caminho para Três Morros, Ponto 4";NULL;"Chapada Diamantina";BA;Brasil
1354;"Balneário Itapema";NULL;"Itapema do Norte";SC;Brasil
1361;"Baía Mandioré";NULL;"Puerto Isabel";" ";Bolívia
1396;"próximo ao córrego Aguaçú";NULL;Livramento;MT;Brasil
1398;"Distrito de Paranatinga - margem esquerd";"do rio Culuene";"São José do Couto";MT;Brasil
1399;"Fazenda Penha";NULL;" ";MT;Brasil
1410;"Morraria de Mimoso";NULL;"Santo Antônio de Leverger";MT;Brasil
1418;"Baía dos Burros, margem do rio";NULL;" ";MT;Brasil
1490;"arredores da Usina da Mata, Fazenda";Jacarezinho;Valparaiso;SP;Brasil
1539;"BR-376 Curitiba-Joinville, pouco depois ";"do posto de guarda";"São José dos PInhais";PR;Brasil
1576;"próximo a ponte sobre o Rio Ivaí";NULL;Ivailândia;PR;Brasil
1579;"vegetação ciliar do Rio Ivaí";NULL;Ivailândia;PR;Brasil
1683;Copel;NULL;"Foz do Areia";PR;Brasil
1700;"Parque Estadual do Acaraí";NULL;"São Francisco do Sul";PR;Brasil
1703;arredores;NULL;Imbituva;SC;Brasil
1706;"Praia da Vila - Dunas";NULL;Imbituva;SC;Brasil
1711;"antiga Fazenda COCAMAR";NULL;Iguatemi;PR;Brasil
1715;"mata ciliar do rio Cuiabá, lado esquerdo";NULL;" ";MT;Brasil
1716;"Fazenda Ecotrópica";NULL;" ";MT;Brasil
1717;" ";NULL;"Córrego do Retiro";MT;Brasil
1751;"estrada de chão Garuva-Cubatão";NULL;Garuva;PR;Brasil
1788;"Morro do Chapéu, Caminho para o Parque";NULL;"Piemonte da Diamantina";BA;Brasil
1789;"Morro do Chapéu, Parque do Morro do";Chapéu;"Piemonte da Diamantina";BA;Brasil
1790;"APA da Serra Branca (Plano de Manejo)";NULL;"Raso da Catarina";BA;Brasil
1826;"Área da COPEL - Rio Cubatão";NULL;Garuva;PR;Brasil
1883;" ";NULL;"São João Del Rey";MG;Brasil
1885;"BR3, Km 425";NULL;"Nova LIma";MG;Brasil
1909;"Rodovia Linha Verde";NULL;Subaúma;BA;Brasil
1911;"Mato Limpo";NULL;"Campina Grande do Sul.";PR;Brasil
1918;"estrada entre Ponta Porã e Amambaí.";"Beira de estrada, beira de mata perturba";" ";MT;Brasil
1966;"bridge crossing Chambers Creek on Hwy.";2859;"Navarro Co. - Texas";" ";E.U.A.
2004;Praça;NULL;"Sâo Francisco de Assis";RS;Brasil
2016;BR-280;NULL;"Flor da Serra do Sul";SC;Brasil
2018;" ";NULL;"Sâo Domingos";SC;Brasil
2019;" ";NULL;"Harval do Sul";RS;Brasil
2022;"Cerro Palomas";NULL;"Santana do Livramento";RS;Brasil
2023;" ";NULL;Uruguainana;RS;Brasil
2038;"PARNA - Parque Nacional de Ilha Grande";"Ilha Bandeirantes ou Ilha Jacaré";"Porto Camargo";PR;Brasil
2045;REPAR;NULL;Araucaria;PR;Brasil
2102;"Jacobina, estrada Araújo para a Serra do";Tombador;"Piemonte da Diamantina";BA;Brasil
2103;"Jacobina, Trilha dos Bandeirantes";NULL;"Piemonte da Diamantina";BA;Brasil
2198;"Linha 130 da Graciema";NULL;"Santa Terezinha";RS;Brasil
2233;"João Duarte, Cerro do Registro";NULL;"Santana do Livramento";RS;Brasil
2335;"Coletadas na Coleção da Embrapa de";Planaltina-DF;" ";ES;Brasil
2411;"Rodovia BR 476, Km 210, Passa 2/Pedra";Alta;Lapa;BR;Brasil
2436;Guará;NULL;"Timbó do Sul";SC;Brasil
2475;"Ibicoara, Cascavel";NULL;"Chapada Diamantina";BA;Brasil
2505;"Pedro Moro";NULL;"São José dos PInhais";PR;Brasil
2513;"Serra do Cabral, Agroindustrial Serra do";Cabral;"Joaquim Felício";PR;Brasil
2545;"Prov. Ichilo, vic. El Cairo, 5 Km SW of";"Buena Vista";"Depto. Santa Cruz";" ";Bolívia
2548;"Rod. BR-262, 5 Km L de Realeza";NULL;Realeza;MG;Brasil
2570;arredores;NULL;Goianópolis;GO;Brasil
2582;"Rodovia MG-111, Vargem Grande";NULL;"Presidente Soares";MG;Brasil
2653;"Canabrava, 3-5 Km";NULL;Olivença;BA;Brasil
2686;"Pirabeiraba/ Joinville, Resgate de Flora";"LT 230 Kv Joinville Norte-Curitiba C2";Pirabeiraba;SC;Brasil
2690;"Tonto National Forest, Road to Mt. Ord";"fire tower near end of accessible part ";"Arizona - Maricopa County";" ";"Estados Unidos"
2691;"Coronado National Forest; Peloncillo";"Mountain; east of FS Road 4335";"New Mexico - Hidalgo County";" ";"Estados Unidos"
2692;"Hummingbird Springs Wilderness, near";"Hummingbird Springs";"Arizona - Maricopa County";" ";"Estados Unidos"
2693;"Ca. 17,5 Km NW of Braidwood";NULL;"New South Wales";" ";Australia
2710;Talhado;NULL;"Serranópolis de MInas";MG;Brasil
2755;Faxinal;NULL;"Santana do Livramento";RS;Brasil
2758;"Rodovia Miguel Jamur, Bairro Minas";Velhas;Garuva;PR;Brasil
2764;"Rio Brilhante";NULL;"Rio Brilhante";MT;Brasil
2771;"Near mile 1 of microwave tower road,";"north of Hummingbird Springs Wilderness";"Arizona - Maricopa County";" ";"Estados Unidos"
2807;"southeast of Oberwaltersdorf near the";Grillenhügel;"Lower Austria, Thermenlinie";" ";Austria
2826;"Descida para Passagem do Rio Preto";NULL;"Franscisco Dumont";MG;Brasil
2829;"Rod. BR-030, 10-15 km O de Caetité";NULL;Caetité;PR;Brasil
2831;"Conceição da Barra";NULL;Itaúnas;ES;Brasil
2833;"Agachi, Rio Agachi";NULL;MIranda;MS;Brasil
2857;"Hummingbird Springs Wilderness, canyon";"at north face of Sugarloaf mountain.";"Arizona - Maricopa County";" ";"Estados Unidos"
2868;Ibassaia;NULL;"Mata de Sâo João";BA;Brasil
2900;Itapanhoacanga;NULL;"Alvorada de Minas";PR;Brasil
2903;"Parque Estadual do Desengano, vertente";NULL;"Santa Madalena";RJ;Brasil
2949;"estrada de chaão entre Buriti Alto e";"Água Fria";"Água Fria";GO;Brasil
2969;"Lettenwag ca. 3,3 km südsüdwestlich von";Göstling;"Niederösterreich, Gösllinger Alpen";" ";Austria
2970;"Totenkopf westlich von GroBau (SW";"Gainfarn), an der ForststraBe";"Niederösterreich, Thermenlinie,";" ";Austria
3126;"RPPN Mata do Professor Batista";NULL;"Dom Pedro de Alcântra";RS;Brasil
3219;"Estrada Geral São Luiz - SC-407";NULL;"Sâo Martinho";SC;Brasil
3248;" ";NULL;Capivari;PR;Brasil
3288;"Fazenda São João";NULL;"Varjão de MInas";MG;Brasil
3301;"Martinho Prado, Reserva Biológica da";"Fazenda Campininha";Mogi-Guaçu;SP;Brasil
3325;"Estrada Serro-Diamantina";NULL;"Trinta Réis";MG;Brasil
3360;"Parque Nacional da Serra da Canastra.";"Jaguarê (Jaguari)";"São Roque de MInas";MG;Brasil
3393;" ";NULL;"Estado do Tocantis";TO;Brasil
3403;Pirangibe;NULL;"Poços de Calda";MG;Brasil
3409;CNPF;NULL;" Colombo";PR;Brasil
3425;"Serra do Teimoso, Faz. Teimoso, entronca";"mento a esquerda ao Km 14";Juçari;BA;Brasil
3438;"Próx. a linha férrea";NULL;Marinque;SP;Brasil
3445;"Parque Estadual do Desengano, Pico";"Pedra do Macaco";"São Fidélix";RJ;Brasil
3450;"Serra do Cipó. Acesso pela Faz. Inhame";"Início da trilha de captação de água da ";"Santana do Pirapama";MG;Brasil
3453;"lado direito do rio.";NULL;"Rio Tibagi (estrada do Café)";PR;Brasil
3456;" ";NULL;Conteda;PR;Brasil
3468;"Fazenda Jardim do Éden, Gaviãozinho";NULL;"Cachoeira do Pajeú";MG;Brasil
3474;"de alto Tomaz-Coelho";NULL;Araucaria;PR;Brasil
3481;"Porto Figueira";NULL;"Vila Alta";PR;Brasil
3487;"Fazenda Ouro Verde";NULL;Guairacá;PR;Brasil
3507;" ";NULL;"Paulo Freitas";PR;Brasil
3517;"Aparecida do Ivaí";NULL;"Santa Izabel do Ivaí";PR;Brasil
3542;"Parque Estadual Serra Nova, Talhado";NULL;"Serranópolis de MInas";MG;Brasil
3548;"Resgate de FLORA da UHE Colider, Lote";"B de supressão";Colider;MT;Brasil
3582;"Recôncavo Sul, Área antropizada";NULL;"Santa Terezinha";BA;Brasil
3584;"Recôncavo Sul, Serra da Jibóia";NULL;"Santa Terezinha";BA;Brasil
3591;"Alto da Lagoinha, Mata Atlântica";NULL;Ubaira;BA;Brasil
3592;"Fazenda do Senhor Carlos Figueira, na zo";"na rural. Baixa da terra, em frente a";Matuípe;BA;Brasil
