codigo,cidade_fb,estado_fb,uf_resolvida,cidade_slug
145,Francisco Beltrão,PR,PR,francisco beltrao
146,Paiçandu,PR,PR,paicandu
147,Corumbataí do Sul,PR,PR,corumbatai do sul
148,Piraquara,PR,PR,piraquara
149,Piên,PR,PR,pien
150,Luiziana,PR,PR,luiziana
151,Teixeira Soares,PR,PR,teixeira soares
152,Adrianópolis,PR,PR,adrianopolis
153,Foz do Iguaçu,PR,PR,foz do iguacu
154,Campo Mourão,PR,PR,campo mourao
155,Medianeira,PR,PR,medianeira
156,Jaguariaíva,PR,PR,jaguariaiva
157,Campo Mourão,PR,PR,campo mourao
158,Quinta do Sol,PR,PR,quinta do sol
159,Santa Isabel do Ivaí,PR,PR,santa isabel do ivai
160,Parque Nacional de Ilha Grande,MS,MS,parque nacional de ilha grande
161,Mamborê,PR,PR,mambore
162,Pontal do Paraná,PR,PR,pontal do parana
163,Peabiru,PR,PR,peabiru
164,Campo Mourão,PR,PR,campo mourao
165,Engenheiro Beltrão,PR,PR,engenheiro beltrao
166,Foz do Iguaçu,PR,PR,foz do iguacu
167,Ubiratã,PR,PR,ubirata
168,Campo Mourão,PR,PR,campo mourao
169,Quarto Centenário,PR,PR,quarto centenario
170,Goioerê,PR,PR,goioere
171,Luiziana,PR,PR,luiziana
172,Mangueirinha,PR,PR,mangueirinha
173,Campo Mourão,PR,PR,campo mourao
175,Adrianópolis,PR,PR,adrianopolis
176,Araruna,PR,PR,araruna
177,Ponta Grossa,PR,PR,ponta grossa
253,Guaratuba,PR,PR,guaratuba
179,São José dos Pinhais,PR,PR,sao jose dos pinhais
180,Cavalcante,GO,GO,cavalcante
181,Campo Mourão,PR,PR,campo mourao
182,Moreira Sales,PR,PR,moreira sales
183,Antonina,PR,PR,antonina
184,Arinos,MG,MG,arinos
185,Brasília,DF,DF,brasilia
186,Brasília,DF,DF,brasilia
187,Campo Mourão,PR,PR,campo mourao
188,Cianorte,PR,PR,cianorte
189,Cianorte,PR,PR,cianorte
190,Cristália,MG,MG,cristalia
191,Joaquim Felício,MG,MG,joaquim felicio
192,Atibaia,SP,SP,atibaia
193,Almas,TO,TO,almas
194,Campo Mourão,PR,PR,campo mourao
195,Lapa,PR,PR,lapa
196,Turvo,PR,PR,turvo
197,Santa Luzia,BA,BA,santa luzia
198,Mamborê,PR,PR,mambore
199,Iretama,PR,PR,iretama
200,Pitanga,PR,PR,pitanga
201,Campo Mourão,PR,PR,campo mourao
202,Goioerê,PR,PR,goioere
203,Goioerê,PR,PR,goioere
204,Ribeirão do Pinhal,PR,PR,ribeirao do pinhal
205,Farol,PR,PR,farol
206,Barbosa Ferraz,PR,PR,barbosa ferraz
207,Dourados,MS,MS,dourados
208,Paranaguá,PR,PR,paranagua
209,Farol,PR,PR,farol
210,Atibaia,SP,SP,atibaia
211,Campo Mourão,PR,PR,campo mourao
212,Janiópolis,PR,PR,janiopolis
213,Peabiru,PR,PR,peabiru
214,Janiópolis,PR,PR,janiopolis
215,Cornélio Procópio,PR,PR,cornelio procopio
216,Medianeira,PR,PR,medianeira
217,Engenheiro Beltrão,PR,PR,engenheiro beltrao
218,Cerro Azul,PR,PR,cerro azul
219,Tuneiras do Oeste,PR,PR,tuneiras do oeste
220,Bombinhas,SC,SC,bombinhas
221,Paranaguá,PR,PR,paranagua
222,Araruna,PR,PR,araruna
223,Toledo,PR,PR,toledo
224,Farol,PR,PR,farol
225,Mata de São João,BA,BA,mata de sao joao
226,Campina da Lagoa,PR,PR,campina da lagoa
227,Boa Esperança,PR,PR,boa esperanca
228,Mamborê,PR,PR,mambore
229,Arapoti,PR,PR,arapoti
230,Loanda,PR,PR,loanda
231,Cianorte,PR,PR,cianorte
232,Maringá,PR,PR,maringa
233,Terra Roxa,PR,PR,terra roxa
234,Campo Mourão,PR,PR,campo mourao
235,Quinta do Sol,PR,PR,quinta do sol
236,Presidente Castelo Branco,PR,PR,presidente castelo branco
237,Moreira Sales,PR,PR,moreira sales
238,Goioerê,PR,PR,goioere
239,Araruna,PR,PR,araruna
240,Campo Mourão,PR,PR,campo mourao
241,Campo Mourão,PR,PR,campo mourao
242,Campina Grande do Sul,PR,PR,campina grande do sul
243,Janiópolis,PR,PR,janiopolis
244,Araruna,PR,PR,araruna
245,Almas,TO,TO,almas
246,Jaguariaíva,PR,PR,jaguariaiva
247,Araruna,PR,PR,araruna
248,Campina da Lagoa,PR,PR,campina da lagoa
249,Pirenópolis,GO,GO,pirenopolis
250,Alto Palmital,PR,PR,alto palmital
251,Maringá,PR,PR,maringa
252,Cianorte,PR,PR,cianorte
254,Cavalcante,GO,GO,cavalcante
255,São José dos Pinhais,PR,PR,sao jose dos pinhais
256,Engenheiro Beltrão,PR,PR,engenheiro beltrao
257,Corumbataí do Sul,PR,PR,corumbatai do sul
258,Maringá,PR,PR,maringa
259,Guarapuava,PR,PR,guarapuava
260,Fênix,PR,PR,fenix
261,Moreira Sales,PR,PR,moreira sales
262,Campo Mourão,PR,PR,campo mourao
263,Goiânia,GO,GO,goiania
264,Peabiru,PR,PR,peabiru
265,Campo Mourão,PR,PR,campo mourao
266,Mamborê,PR,PR,mambore
267,Batayporã,MS,MS,bataypora
268,Peabiru,PR,PR,peabiru
269,Itaquiraí,MS,MS,itaquirai
270,Jacarezinho,PR,PR,jacarezinho
271,Mirandópolis,SP,SP,mirandopolis
272,Bombinhas,SC,SC,bombinhas
273,Cavalcante,GO,GO,cavalcante
274,Teresina de Goiás,GO,GO,teresina de goias
275,Arroio Grande,RS,RS,arroio grande
276,Colinas do Sul,GO,GO,colinas do sul
277,Telêmaco Borba,PR,PR,telemaco borba
278,Campo Mourão,PR,PR,campo mourao
279,Atibaia,SP,SP,atibaia
280,Cavalcante,GO,GO,cavalcante
281,Goianápolis,GO,GO,goianapolis
282,Roncador,PR,PR,roncador
481,Peabiru,PR,PR,peabiru
284,Tijucas do Sul,PR,PR,tijucas do sul
