id,cidade_fb,uf_resolvida
1112,Londrina,PR
1113,Carambeí,PR
1114,Assaí,PR
1115,Ortigueira,PR
1116,Jataizinho,PR
1117,Primeiro de Maio,PR
1118,Ibiporã,PR
1119,Jataizinho,PR
1120,Tibagi,PR
1121,Ipiranga,PR
1122,Londrina,PR
1123,Ibiporã,PR
1124,Tibagi,PR
1125,Tamarana,PR
1126,Teixeira Soares,PR
1127,Jaguariaíva,PR
1128,Londrina,PR
1129,Paranaguá,PR
1130,Lupionópolis,PR
1131,Ibiporã,PR
1132,Mauá da Serra,PR
1133,Arapongas,PR
1134,Tuneiras do Oeste,PR
1135,Tuneiras do Oeste,PR
1136,Guia Lopes da Laguna,MS
1137,Jardim,MS
1138,Balsa Nova,PR
1139,Balsa Nova,PR
1140,Guaratuba,PR
1141,Tijucas do Sul,PR
1142,Tuneiras do Oeste,PR
1143,Tuneiras do Oeste,PR
1144,Cambé,PR
1145,Ortigueira,PR
1146,Tibagi,PR
1147,Sertanópolis,PR
1148,Londrina,PR
1149,Sertanópolis,PR
1150,Ibiporã,PR
1151,São Jerônimo da Serra,PR
1152,Leópolis,PR
1153,Londrina,PR
1154,Batayporã,MS
1155,Cornélio Procópio,PR
1156,Cornélio Procópio,PR
1157,Reserva,PR
1158,Formosa do Oeste,PR
1159,Nova Fátima,PR
1160,Laranjeiras do Sul,PR
1161,Jussara,PR
1162,Reserva,PR
1163,Maringá,PR
1164,Iguaraçu,PR
1165,Godoy Moreira,PR
1166,Sabaudia,PR
1167,Sabaudia,PR
1168,Sabaudia,PR
1169,Corbélia,PR
1170,Mogi das Cruzes,SP
1171,Corbélia,PR
1172,Mogi das Cruzes,SP
1173,Astorga,PR
1174,Santa Helena,PR
1175,Santa Helena,PR
1176,Nova Esperança,PR
1177,Maringá,PR
1178,Seara,SC
1179,Assis,SP
1180,Assis Chateaubriand,PR
1181,Mariluz,PR
1182,Balneário Camboriu,SC
1183,Sabaudia,PR
1184,Sabaudia,PR
1185,Sabaudia,PR
1186,Assis Chateaubriand,PR
1187,Balneário Camboriu,SC
1188,Balneário Camboriu,SC
1189,Balneário Camboriu,SC
1190,Sabaudia,PR
1191,Jardim,MS
1192,Campina Grande do Sul,PR
1193,Campina Grande do Sul,PR
1194,Campina Grande do Sul,PR
1195,Guaratuba,PR
1196,Guaratuba,PR
1197,Campina Grande do Sul,PR
1198,Renascença,PR
1199,Douradina,PR
1200,Douradina,PR
1201,Ariquemes,RO
1202,Ariquemes,RO
1203,Ilha Floresta,MS
1204,Pariquera-Açu,SP
1205,Cananéia,SP
1207,Ilha Comprida,SP
1208,Pariquera-Açu,SP
1209,Pontal do Paraná,PR
1210,Pontal do Paraná,PR
1211,Tuneiras do Oeste,PR
1212,Doutor Ulysses,PR
1213,Poconé,MT
1214,Campo Verde,MT
1215,Barra dos Bugres,MT
1216,Poconé,MT
1217,Chapada dos Guimarães,MT
1218,Sinop,MT
1219,Barão de Melgaço,MT
1220,Poconé,MT
1221,Cáceres,MT
1222,Nova Marilândia,MT
1223,Nova Marilândia,MT
1224,Porto Estrela,MT
1225,Nossa Senhora do Livramento,MT
1226,Cáceres,MT
1227,Poconé,MT
1228,Nova Marilândia,MT
1229,Poconé,MT
1230,Rosário Oeste,MT
1231,Poconé,MT
1232,Claudia,MT
1233,Cuiabá,MT
1234,Nova Marilândia,MT
1235,Poconé,MT
1236,Poconé,MT
1237,Nova Marilândia,MT
1238,Poconé,MT
1239,Claudia,MT
1240,Sinop,MT
1241,Cuiabá,MT
1242,Poconé,MT
1243,Cuiabá,MT
1244,Nova Marilândia,MT
1245,Barão de Melgaço,MT
1246,Campo Verde,MT
1247,Poconé,MT
1248,Nova Marilândia,MT
1249,Claudia,MT
1250,Cuiabá,MT
1251,Campo Verde,MT
1252,Tapurah,MT
1253,Poconé,MT
1254,Cuiabá,MT
1255,Barão de Melgaço,MT
1256,Rosário Oeste,MT
1257,Estrela do Norte,SP
1258,Ponta Grossa,PR
1259,Rio Branco do Sul,PR
1260,Itapecerica da Serra,SP
1261,Cotia,SP
1262,Mairinque,SP
1263,Ponta Grossa,PR
1264,Matinhos,PR
1265,Campo Magro,PR
1266,Rio Branco do Sul,PR
1267,Curitiba,PR
1268,Campo Magro,PR
1269,Vargem Bonita,SC
1270,Vargem Bonita,SC
1271,Bituruna,PR
1272,São Paulo,SP
1273,Guarapuava,PR
1274,Herval,RS
1276,Campina Grande do Sul,PR
1277,Xanxerê,SC
1278,Cascavel,PR
1279,Carmópolis de Minas,MG
1280,Narandiba,SP
1281,Campina Grande do Sul,PR
1282,Vargem Bonita,SC
1283,Curitiba,PR
1284,Curitiba,PR
1285,Nova Friburgo,RJ
1286,Jaguariaíva,PR
1287,Foz do Iguaçu,PR
1288,São José do Barreiro,SP
1289,Três Lagoas,MS
1290,Miranda,MS
1291,Miranda,MS
1292,Tapurah,MT
1293,Cláudia,MT
1294,Tangará da Serra,MT
1295,Chapada dos Guimarães,MT
1296,Cuiabá,MT
1297,Cuiabá,MT
1298,Cláudia,MT
1299,Chapada dos Guimarães,MT
1300,Tangará da Serra,MT
1301,Campo Verde,MT
1303,Acorizal,MT
1304,Cuiabá,MT
1305,Santo Antônio do Leverger,MT
1306,Campo Verde,MT
1307,Cláudia,MT
1308,Barão de Melgaço,MT
1309,Barão de Melgaço,MT
1310,Chapada dos Guimarães,MT
1311,Acorizal,MT
1312,Cuiabá,MT
1313,Sinop,MT
1314,Poconé,MT
1315,Barão de Melgaço,MT
1316,Chapada dos Guimarães,MT
1317,Barão de Melgaço,MT
1318,Cuiabá,MT
1319,Acorizal,MT
1320,Cotriguaçu,MT
1321,Curupira,MT
1322,Aripuanã,MT
1323,Cuiabá,MT
1324,Cuiabá,MT
1325,Cláudia,MT
1326,Guarapuava,PR
1327,Sâo Vicente,SP
1330,Terra Roxa,PR
1333,Itatiaia,RJ
1334,Limeira,SP
1335,Almirante Tamandaré,PR
1336,Curitiba,PR
1337,Gouveia,MG
1338,Carambeí,PR
1339,São José dos Pinhais,PR
1340,Pontal do Paraná,PR
1341,Campo Largo,PR
1342,Curitiba,PR
1343,Almirante Tamandaré,PR
1344,São José dos Pinhais,PR
1345,Balsa Nova,PR
1346,Belo Horizonte,MG
1347,Chapadão do Lageado,SC
1348,Paranaguá,PR
1349,Itatiaia,RJ
1350,Chapada Diamantina,BA
1351,Baião,PA
1352,Santa Tereza,RS
1353,Pontal do Paraná,PR
1354,Itapema do Norte,SC
1355,São Francisco do Sul,SC
1356,Guarapuava,PR
1357,Guarapuava,PR
1358,Prudentópolis,PR
1359,Fênix,PR
1360,Rio Verde de Mato Grosso,MS
1362,Naviraí,MS
1363,Campo Grande,MS
1364,Naviraí,MS
1365,Nioaque,MS
1366,Corumbá,MS
1367,Corumbá,MS
1368,Corumbá,MS
1369,Rio Verde de Mato Grosso,MS
1370,Rio Verde de Mato Grosso,MS
1371,Rio Verde de Mato Grosso,MS
1372,Rio Verde de Mato Grosso,MS
1373,Rio Verde de Mato Grosso,MS
1374,Corumbá,MS
1375,Corumbá,MS
1376,Campo Grande,MS
1377,Campo Grande,MS
1378,Rio Verde de Mato Grosso,MS
1379,Corumbá,MS
1380,Corumbá,MS
1381,Corumbá,MS
1382,Corumbá,MS
1383,Campo Grande,MS
1384,Corumbá,MS
1385,Terenos,MS
1386,Corumbá,MS
1387,Corumbá,MS
1388,Corumbá,MS
1389,Sooretama,ES
1390,Barão de Melgaço,MT
1391,Barão de Melgaço,MT
1392,Rosário Oeste,MT
1393,Aripuanã,MT
1394,Barão de Melgaço,MT
1395,Cuiabá,MT
1396,Livramento,MT
1397,Poconé,MT
1398,São José do Couto,MT
1400,Cáceres,MT
1401,Vila Bela da Santíssima Trindade,MT
1402,Cáceres,MT
1403,Cáceres,MT
1404,Jaciara,MT
1405,Cuiabá,MT
1406,Rondonópolis,MT
1407,Juruena,MT
1408,Cáceres,MT
1409,Poconé,MT
1410,Santo Antônio do Leverger,MT
1411,Paranatinga,MT
1412,Sinop,MT
1413,Cuiabá,MT
1414,Cuiabá,MT
1415,Cuiabá,MT
1416,Cuiabá,MT
1417,Cuiabá,MT
1419,Cuiabá,MT
1420,Poconé,MT
1421,Cuiabá,MT
1422,Vila Bela da Santíssima Trindade,MT
1423,Rosário Oeste,MT
1424,Chapada dos Guimarães,MT
1425,Rondonópolis,MT
1426,Poconé,MT
1427,Tangará da Serra,MT
1428,Cáceres,MT
1429,São Tomé,PR
1430,Campo Mourão,PR
1431,Avanhandava,SP
1432,Assis,SP
1433,Avanhandava,SP
1434,Ponta Grossa,PR
1435,São José dos Pinhais,PR
1436,Cruz Machado,PR
1437,Reserva do Iguaçu,PR
1438,Joinville,SC
1439,Telêmaco Borba,PR
1440,Bituruna,PR
1441,Piraí do Sul,PR
1442,Campo Largo,PR
1443,Guaratuba,PR
1444,Ortigueira,PR
1445,União da Vitória,PR
1446,Maracaju,MS
1447,Maracaju,MS
1448,Ventania,PR
1449,Ventania,PR
1450,Ventania,PR
1451,Sengés,PR
1452,Kaloré,PR
1453,Primeiro de Maio,PR
1454,Caarapó,MS
1455,Corumbataí do Sul,PR
1456,Jaguariaíva,PR
1457,Jaguariaíva,PR
1458,Porto Rico,PR
1459,Taquarussu,MS
1460,Porto Rico,PR
1461,Jateí,MS
1462,Jateí,MS
1463,Porto Rico,PR
1464,Batayporã,MS
1465,Taquarussu,MS
1466,Taquarussu,MS
1467,Batayporã,MS
1468,Porto Rico,PR
1469,São Pedro do Paraná,PR
1470,São Pedro do Paraná,PR
1471,Marilena,PR
1472,Marilena,PR
1473,Porto Rico,PR
1474,Taquarussu,MS
1475,Batayporã,MS
1476,Iretama,PR
1477,Piraquara,PR
1478,Telêmaco Borba,PR
1479,Ortigueira,PR
1480,Ortigueira,PR
1481,Telêmaco Borba,PR
1482,Ponta Grossa,PR
1483,Morretes,PR
1484,Ortigueira,PR
1485,Ortigueira,PR
1486,Telêmaco Borba,PR
1487,Ortigueira,PR
1488,Ortigueira,PR
1489,Guaratuba,PR
1490,Valparaiso,SP
1491,Tibagi,PR
1492,Quatro Barras,PR
1493,Telêmaco Borba,PR
1494,Telêmaco Borba,PR
1495,Telêmaco Borba,PR
1496,Guaratuba,PR
1497,Telêmaco Borba,PR
1498,Telêmaco Borba,PR
1499,Ortigueira,PR
1500,Telêmaco Borba,PR
1501,Ortigueira,PR
1502,Telêmaco Borba,PR
1503,Ortigueira,PR
1504,Curitiba,PR
1505,São José dos Pinhais,PR
1506,Boa Ventura de São Roque,PR
1507,Curitiba,PR
1508,Ipira,SC
1509,Niterói,RJ
1510,Quatro Barras,PR
1511,Ipira,SC
1512,Ipira,SC
1513,Ortigueira,PR
1514,Telêmaco Borba,PR
1515,Telêmaco Borba,PR
1516,Telêmaco Borba,PR
1517,Piraí do Sul,PR
1518,São José dos Pinhais,PR
1519,Garuva,SC
1520,Palmeira,PR
1521,Piraí do Sul,PR
1522,Tijucas do Sul,PR
1523,Balsa Nova,PR
1524,Candelária,RS
1525,Guaíra,PR
1526,Blumenau,SC
1527,Dionísio Cerqueira,SC
1528,São Borja,RS
1529,Telêmaco Borba,PR
1530,Telêmaco Borba,PR
1531,Telêmaco Borba,PR
1532,Pontal do Paraná,PR
1533,União da Vitória,PR
1534,Tijucas do Sul,PR
1535,Telêmaco Borba,PR
1536,Tijucas do Sul,PR
1537,Guarapuava,PR
1538,São José dos Pinhais,PR
1539,São José dos PInhais,PR
1540,São José dos Pinhais,PR
1541,São José dos Pinhais,PR
1542,São José dos Pinhais,PR
1543,Telêmaco Borba,PR
1544,Brasília,DF
1545,Brasília,DF
1546,Arenópolis,GO
1547,Brasília,DF
1548,Caiapônia,GO
1549,Brasília,DF
1550,Mambaí,GO
1551,Montes Claros de Goiás,GO
1552,Novo Alegre,TO
1553,Conceição do Tocantins,TO
1554,Sandolândia,TO
1555,Formoso do Araguaia,TO
1556,Itapiratins,TO
1557,Darcinópolis,TO
1558,Araguatins,TO
1559,Araguatins,TO
1560,Correntina,BA
1561,Januária,MG
1562,Brejinho de Nazaré,TO
1563,Araguacema,TO
1564,Santa Maria do Tocantins,TO
1565,Gurupi,TO
1566,Dianópolis,TO
1567,Passos,MG
1568,Passos,MG
1569,Passos,MG
1570,Passos,MG
1571,São José da Barra,MG
1572,São José da Barra,MG
1573,Delfinópolis,MG
1574,Corumbataí do Sul,PR
1575,Campo Mourão,PR
1576,Ivailândia,PR
1577,Loanda,PR
1578,Jussara,PR
1579,Ivailândia,PR
1580,Irati,PR
1581,Glória de Dourados,MS
1582,Nova Alvorada do Sul,MS
1583,Glória de Dourados,MS
1584,Nova Alvorada do Sul,MS
1585,Nova Alvorada do Sul,MS
1586,Nova Alvorada do Sul,MS
1587,Campo Grande,MS
1588,Ladário,MS
1589,Nioaque,MS
1590,Ladário,MS
1591,Corumbá,MS
1592,Guaíba,RS
1593,Corumbá,MS
1594,Corumbá,MS
1595,Ladário,MS
1596,Caarapó,MS
1597,Tacuru,MS
1598,Ladário,MS
1599,Ladário,MS
1600,Corumbá,MS
1601,Corumbá,MS
1602,Corumbá,MS
1603,Cruz das Almas,BA
1604,Miranda,MS
1605,Corguinho,MS
1606,Guaíba,RS
1607,Campo Grande,MS
1608,Corumbá,MS
1609,Campo Grande,MS
1610,Três Lagoas,MS
1611,Sidrolândia,MS
1612,Encruzilhada,BA
1613,Encruzilhada,BA
1614,Divisópolis,MG
1615,Cananéia,SP
1616,Cananéia,SP
1617,Corumbataí do Sul,PR
1618,Tibagi,PR
1619,Campos do Jordão,SP
1620,Alto Paraíso de Goiás,GO
1621,Niquelândia,GO
1622,Niquelândia,GO
1623,Cristalina,GO
1624,Formoso,MG
1625,Brasília,DF
1626,Brasília,DF
1627,Formosa do Rio Preto,BA
1628,Niquelândia,GO
1629,Corumbá de Goiás,GO
1630,Marliéria,MG
1631,Brasília,DF
1632,Brasília,DF
1633,Brasília,DF
1634,Brasília,DF
1635,Buritis,MG
1636,Corumbá de Goiás,GO
1637,Buritis,MG
1638,Nova Roma,GO
1639,Niquelândia,GO
1640,Brasília,DF
1641,Brasília,DF
1642,Cavalcante,GO
1643,Brasília,DF
1644,Brasília,DF
1645,Cocos,BA
1646,Formosa,GO
1647,Campo Largo,PR
1648,São Domingos,GO
1649,São Martinho da Serra,RS
1650,Barra do Quaraí,RS
1651,Caçapava do Sul,RS
1652,Morretes,PR
1653,Curitiba,PR
1654,Campo Largo,PR
1655,Paranaguá,PR
1656,Matinhos,PR
1657,Ponta Grossa,PR
1658,Balsa Nova,PR
1659,Itapoá,SC
1660,Guaratuba,PR
1661,Ponta Grossa,PR
1662,Campina Grande do Sul,PR
1663,Morretes,PR
1664,Piraí do Sul,PR
1665,Colombo,PR
1666,São Francisco do Sul,SC
1667,Campina Grande do Sul,PR
1668,Morretes,PR
1669,Candói,PR
1670,Antonina,PR
1671,São José dos Pinhais,PR
1672,Palmas,PR
1673,Morretes,PR
1674,Quatro Barras,PR
1675,Adrianópolis,PR
1676,Guaratuba,PR
1677,Campina Grande do Sul,PR
1678,Morretes,PR
1679,Irati,PR
1680,Matinhos,PR
1681,Curitiba,PR
1682,Curitiba,PR
1683,Foz do Areia,PR
1684,Lages,SC
1685,Campo Mourão,PR
1686,Morretes,PR
1687,Morretes,PR
1688,Paranaguá,PR
1689,Fernandes Pinheiro,PR
1690,Bocaiúva do Sul,PR
1691,Irati,PR
1692,Tunas do Paraná,PR
1693,Morretes,PR
1694,Arapoti,PR
1695,Morretes,PR
1696,Antonina,PR
1697,Paranaguá,PR
1698,Pontal do Paraná,PR
1699,Guaratuba,PR
1700,São Francisco do Sul,PR
1701,Paranaguá,PR
1702,Antonina,PR
1703,Imbituba,SC
1704,Campo Mourão,PR
1705,Mamborê,PR
1706,Imbituba,SC
1707,Mandaguaçu,PR
1708,Mandaguaçu,PR
1709,Nova Aurora,PR
1710,Mandaguaçu,PR
1711,Iguatemi,PR
1712,Campo Mourão,PR
1713,Cáceres,MT
1714,Corumbá,MS
1717,Córrego do Retiro,MT
1718,Diamantino,MT
1719,Diamantino,MT
1720,Diamantino,MT
1721,Poconé,MT
1722,Novo Santo Antônio,MT
1723,Jaciara,MT
1724,Novo Santo Antônio,MT
1725,Novo Santo Antônio,MT
1726,Novo Santo Antônio,MT
1727,Poconé,MT
1728,Cuiabá,MT
1729,Poconé,MT
1730,Cotriguaçu,MT
1731,Cuiabá,MT
1732,Cuiabá,MT
1733,Nova Marilândia,MT
1734,Pitanga,PR
1735,Paraíso do Norte,PR
1736,Guaraqueçaba,PR
1737,Guaraqueçaba,PR
1738,Guaraqueçaba,PR
1739,Guaraqueçaba,PR
1740,Fênix,PR
1741,Cianorte,PR
1742,Cerro Azul,PR
1743,Guaratuba,PR
1744,Piraquara,PR
1745,Rio Branco do Sul,PR
1746,Guaratuba,PR
1747,Piraquara,PR
1748,Cerro Azul,PR
1749,Cerro Azul,PR
1750,Coronel Domingos Soares,PR
1751,Garuva,PR
1752,Jundiaí do Sul,PR
1753,Verdelândia,MG
1754,São Jorge d'Oeste,PR
1755,Paulo Frontin,PR
1756,Monte Alegre de Goiás,GO
1757,Jundiaí do Sul,PR
1758,Campina Grande do Sul,PR
1759,Campina Grande do Sul,PR
1760,São Miguel das Matas,BA
1761,Ponta Grossa,PR
1762,Londrina,PR
1763,Água Doce,SC
1764,Guaraqueçaba,PR
1765,Curitiba,PR
1766,Adrianópolis,PR
1767,Valparaíso,SP
1768,Valparaíso,SP
1769,Ilha Solteira,SP
1770,São José dos Pinhais,PR
1771,Rio Verde de Mato Grosso,MS
1772,Jequitaí,MG
1773,Urubici,SC
1774,Palmas,PR
1775,Aquidauana,MS
1776,São Domingos,GO
1777,Buenópolis,MG
1778,Santa Filomena,PI
1779,Palmas,PR
1780,Garuva,SC
1781,Buritizeiro,MG
1782,Esmeralda,RS
1783,Caxias do Sul,RS
1784,Alto Parnaíba,MA
1785,Caxias do Sul,RS
1786,Nova Venécia,ES
1787,Blumenau,SC
1788,Piemonte da Diamantina,BA
1789,Piemonte da Diamantina,BA
1790,Raso da Catarina,BA
1791,Tibagi,PR
1794,Lima Duarte,MG
1795,Jaguariaíva,PR
1797,Elísio Medrado,BA
1800,Paulo Lopes,SC
1802,Venda Nova do Imigrante,ES
1803,Mafra,SC
1804,Apucarana,PR
1810,Antônio Carlos,MG
1824,Alto Parnaíba,MA
1825,Teresópolis,RJ
1826,Garuva,PR
1827,Piraquara,PR
1828,Tijucas do Sul,PR
1829,São José dos Pinhais,PR
1830,Balneário Camboriú,SC
1831,Ponte Alta do Tocantins,TO
1832,Paula Freitas,PR
1833,Ponta Grossa,PR
1834,Palmeira,PR
1835,Joinville,SC
1836,Quatro Barras,PR
1837,São Mateus do Sul,PR
1838,Campina da Lagoa,PR
1839,Guaraqueçaba,PR
1840,Palmas,PR
1841,Cáceres,MT
1842,Diamantina,MG
1843,Japonvar,MG
1844,Brotas,SP
1845,Loanda,PR
1846,Aquidauana,MS
1847,Vila Bela da Santíssima Trindade,MT
1848,Porto Murtinho,MS
1849,Candói,PR
1850,Vila Bela da Santíssima Trindade,MT
1851,Porto Murtinho,MS
1852,Foz do Iguaçu,PR
1853,Vilhena,RO
1854,Coxim,MS
1855,Caracol,MS
1856,São Mateus do Sul,PR
1858,Tijucas do Sul,PR
1859,Campo Alegre,SC
1860,Cajati,SP
1861,Ponta Grossa,PR
1862,Buenópolis,MG
1863,Conceição da Barra,ES
1864,Urubici,SC
1865,Bonito,MS
1866,Campina Grande do Sul,PR
1867,Caetité,BA
1868,Várzea da Palma,MG
1869,Reserva do Cabaçal,MT
1873,São Joaquim,SC
1874,Curitiba,PR
1876,Belém,PA
1878,Palotina,PR
1879,Lavras do Sul,RS
1880,Juiz de Fora,MG
1881,Francisco Dumont,MG
1882,Céu Azul,PR
1883,São João Del Rey,MG
1884,Miranda,MS
1885,Nova LIma,MG
1886,Lima Duarte,MG
1887,Piraí do Sul,PR
1888,General Carneiro,PR
1889,Candói,PR
1890,São José dos Ausentes,RS
1891,Porto Vitória,PR
1892,Guaraqueçaba,PR
1893,Três Barras do Paraná,PR
1894,Mucugê,BA
1895,Monte Belo do Sul,RS
1896,Alagoa,MG
1897,Macaúbas,BA
1898,Jaguariaíva,PR
1899,Barroso,MG
1900,Guaraniaçu,PR
1901,Bocaiúva do Sul,PR
1902,Porto Murtinho,MS
1903,Florianópolis,SC
1908,Guapimirim,RJ
1909,Subaúma,BA
1910,Monte Belo do Sul,RS
1911,Campina Grande do Sul.,PR
1912,Palmeira,PR
1913,Mucugê,BA
1915,Guaratuba,PR
1916,Caxias do Sul,RS
1917,Santo André,SP
1919,Medina,MG
1920,Mucugê,BA
1921,São Gonçalo do Rio Preto,MG
1922,Canavieiras,BA
1923,Curitiba,PR
1924,Santa Maria do Oeste,PR
1925,Itatiaia,RJ
1926,Juiz de Fora,MG
1927,Lima Duarte,MG
1928,Balneário Camboriú,SC
1929,Palmeira,PR
1930,Iporã do Oeste,SC
1931,Vitor Meireles,SC
1932,Antonina,PR
1933,Itu,SP
1934,Lima Duarte,MG
1935,Aquidauana,MS
1936,Porto Murtinho,MS
1937,Adrianópolis,PR
1938,Buenópolis,MG
1939,Miranda,MS
1940,Caracol,MS
1941,Laguna,SC
1942,Urubici,SC
1943,São Joaquim,SC
1944,Grão Pará,SC
1945,Guaratuba,PR
1946,Iaçu,BA
1947,Vitória da Conquista,BA
1948,Guaraqueçaba,PR
1949,Garuva,SC
1950,Porto Murtinho,MS
1951,Dom Bosco,MG
1952,Datas,MG
1953,Miranda,MS
1954,Santa Filomena,PI
1955,Mirandópolis,SP
1956,Campo Largo,PR
1957,Piraquara,PR
1971,Bandeirantes,PR
1972,Tibagi,PR
1973,Vilhena,RO
1974,Vilhena,RO
1975,Cabixi,RO
1976,Cabixi,RO
1978,Rio Verde de Mato Grosso,MS
1979,Campo Mourão,PR
1980,Fênix,PR
1981,Fênix,PR
1982,Loanda,PR
1983,Manoel Ribas,PR
1984,Paraíso do Norte,PR
1985,Loanda,PR
1986,Fênix,PR
1987,Fênix,PR
1988,Ortigueira,PR
1989,Tamarana,PR
1990,Ortigueira,PR
1991,Ortigueira,PR
1992,Ortigueira,PR
1993,Ortigueira,PR
1994,Ortigueira,PR
1995,Ortigueira,PR
1996,Pelotas,RS
1997,Turuçu,RS
1998,Manoel Viana,RS
1999,Xavantina,SC
2000,Caçapava do Sul,RS
2001,Porto Xavier,RS
2002,Porto Lucena,RS
2003,Mariópolis,PR
2004,São Francisco de Assis,RS
2005,Morrinhos do Sul,RS
2006,Guaíba,RS
2007,Quaraí,RS
2008,Rio Bonito do Iguaçu,PR
2009,Engenheiro Beltrão,PR
2010,Laranjal,PR
2011,Quarto Centenário,PR
2012,Saudade do Iguaçu,PR
2013,Coronel Vivida,PR
2014,Aratiba,RS
2015,Descanso,SC
2016,Flor da Serra do Sul,SC
2017,Catanduvas,PR
2018,Sâo Domingos,SC
2019,Harval do Sul,RS
2020,Itati,RS
2021,Assis Chateaubriand,PR
2022,Sant'Ana do Livramento,RS
2023,Uruguainana,RS
2024,Iporã do Oeste,SC
2025,Amaral Ferrador,RS
2026,São João,PR
2027,Lavras do Sul,RS
2028,Cascavel,PR
2029,Três Barras do Paraná,PR
2030,Ivorá,RS
2031,Maringá,PR
2032,Vicente Dutra,RS
2033,São Francisco de Assis,RS
2034,Nova Veneza,SC
2035,Francisco Beltrão,PR
2036,Altônia,PR
2037,São Jorge do Patrocínio,PR
2038,Porto Camargo,PR
2039,Campina Grande do Sul,PR
2040,Campina Grande do Sul,PR
2041,Campina Grande do Sul,PR
2042,Curitiba,PR
2043,Campina Grande do Sul,PR
2044,Campina Grande do Sul,PR
2045,Araucaria,PR
2046,Joinville,SC
2047,Curitiba,PR
2048,Piraquara,PR
2049,Guaraqueçaba,PR
2050,Guaraqueçaba,PR
2051,Campina Grande do Sul,PR
2052,Curitiba,PR
2053,Ponta Grossa,PR
2054,Campina Grande do Sul,PR
2055,Morretes,PR
2056,Morretes,PR
2057,São Francisco de Paula,RS
2058,Flores da Cunha,RS
2059,Passa Quatro,MG
2060,Antonina,PR
2061,Pinhão,PR
2062,Quatro Barras,PR
2063,Guaraqueçaba,PR
2064,Pinhão,PR
2065,Fraiburgo,SC
2066,Morretes,PR
2067,Matinhos,PR
2068,Francisco Beltrão,PR
2069,Piraquara,PR
2070,Piraquara,PR
2071,Vacaria,RS
2072,Fraiburgo,SC
2073,Guaratuba,PR
2074,Juazeiro,BA
2075,Cariacica,ES
2076,São José dos Ausentes,RS
2077,Novo Repartimento,PA
2078,Major Gercino,SC
2079,Paulo Lopes,SC
2080,Orleans,SC
2081,Florianópolis,SC
2082,Bom Jardim da Serra,SC
2083,Mucugê,BA
2084,Águas Mornas,SC
2085,Céu Azul,PR
2086,São José dos Ausentes,RS
2087,Londrina,PR
2088,São Joaquim,SC
2089,Balsa Nova,PR
2090,Castelo,ES
2091,São Raimundo Nonato,PI
2092,Santa Isabel do Rio Negro,AM
2093,Colombo,PR
2094,Guabiruba,SC
2095,Treviso,SC
2096,Morro da Fumaça,SC
2097,Siderópolis,SC
2098,Major Gercino,SC
2099,Trombudo Central,SC
2100,Matinhos,PR
2101,Campo Belo do Sul,SC
2102,Piemonte da Diamantina,BA
2103,Piemonte da Diamantina,BA
2104,São Bonifácio,SC
2105,Jaborá,SC
2106,Águas Mornas,SC
2107,Pitanga,PR
2108,Orleans,SC
2109,Conceição do Almeida,BA
2110,Nova Petrópolis,RS
2111,Delfinópolis,MG
2112,Bom Jesus,RS
2113,Viamão,RS
2114,Fazenda Rio Grande,PR
2115,Mateiros,TO
2116,Rancho Queimado,SC
2117,Cabo Frio,RJ
2118,Mauá da Serra,PR
2119,Campo Grande,MS
2120,Garuva,SC
2121,Coronel Domingos Soares,PR
2122,Caxias do Sul,RS
2123,Guaraqueçaba,PR
2124,Guaraqueçaba,PR
2125,São Desidério,BA
2126,Piraquara,PR
2127,Piraí do Sul,PR
2128,Balsa Nova,PR
2129,Piraí do Sul,PR
2130,Sengés,PR
2131,Piraí do Sul,PR
2132,Guarapuava,PR
2133,Campo Mourão,PR
2134,Morretes,PR
2135,Carambeí,PR
2136,Iretama,PR
2137,Luiziana,PR
2138,Palmeira,PR
2139,Sengés,PR
2140,São Desidério,BA
2141,Quatro Barras,PR
2142,Campo Mourão,PR
2143,Morretes,PR
2144,Antônio Olinto,PR
2145,Caracol,MS
2146,Curitiba,PR
2147,Piraí do Sul,PR
2148,Balsa Nova,PR
2149,Campina Grande do Sul,PR
2150,Uruguaiana,RS
2151,Palmeira,PR
2152,Palmas,PR
2153,Palmeira,PR
2154,Carambeí,PR
2155,Candói,PR
2156,Carambeí,PR
2157,Ponta Grossa,PR
2158,Itapoá,SC
2159,Diamante do Norte,PR
2160,Rio Branco do Sul,PR
2161,Piraí do Sul,PR
2162,Piraí do Sul,PR
2163,Buenópolis,MG
2164,Tibagi,PR
2165,São José dos Pinhais,PR
2166,Morretes,PR
2167,Lapa,PR
2168,Campina Grande do Sul,PR
2169,Porto Amazonas,PR
2170,Curitiba,PR
2171,Adrianópolis,PR
2172,Manga,MG
2173,Quatro Barras,PR
2174,Guarapuava,PR
2175,Curitiba,PR
2176,Guaratuba,PR
2177,Caravelas,BA
2178,Campina Grande do Sul,PR
2179,Urubici,SC
2180,Arroio do Sal,RS
2181,Adrianópolis,PR
2182,Icaraíma,PR
2183,Curitiba,PR
2184,Tibagi,PR
2185,Morretes,PR
2186,Tunas do Paraná,PR
2187,Buenópolis,MG
2188,Buritizeiro,MG
2189,Ortigueira,PR
2190,São José dos Pinhais,PR
2191,Guarapuava,PR
2192,Turvo,PR
2193,Tijucas do Sul,PR
2194,Tibagi,PR
2195,Carambeí,PR
