id,cidade_fb,uf_resolvida
255,São José dos Pinhais,PR
256,Engenheiro Beltrão,PR
257,Corumbataí do Sul,PR
258,Maringá,PR
259,Guarapuava,PR
260,Fênix,PR
261,Moreira Sales,PR
262,Campo Mourão,PR
263,Goiânia,GO
264,Peabiru,PR
265,Campo Mourão,PR
266,Mamborê,PR
267,Batayporã,MS
268,Peabiru,PR
269,Itaquiraí,MS
270,Jacarezinho,PR
271,Mirandópolis,SP
272,Bombinhas,SC
273,Cavalcante,GO
274,Teresina de Goiás,GO
275,Arroio Grande,RS
276,Colinas do Sul,GO
277,Telêmaco Borba,PR
278,Campo Mourão,PR
279,Atibaia,SP
280,Cavalcante,GO
281,Goianápolis,GO
282,Roncador,PR
284,Tijucas do Sul,PR
285,Ponta Grossa,PR
286,Sapucaia,PA
287,Corumbataí do Sul,PR
288,Bourbonia,PR
289,Bourbônia,PR
290,Luiziana,PR
291,Boa Esperança,MG
292,Nova Tebas,PR
293,Imbaú,PR
294,Corumbataí do Sul,PR
295,Corumbataí do Sul,PR
296,Quatro Barras,PR
297,Farol,PR
298,Peabiru,PR
299,Teresina de Goiás,GO
300,Niquelândia,GO
301,Teresina de Goiás,GO
302,Engenheiro Beltrão,PR
303,Campo Mourão,PR
304,Brasília,DF
305,Pico do Itacolomi,MG
306,Bocaiúva do Sul,PR
307,Uberlândia,MG
308,Cavalcante,GO
309,Cavalcante,GO
310,Jaraguá do Sul,SC
311,Jacarezinho,PR
312,Cavalcante,GO
313,Peabiru,PR
314,Campo Mourão,PR
315,Boa Esperança,PR
316,Jaraguá do Sul,SC
317,Cruzeiro do Oeste,PR
318,Goioerê,PR
319,Guaraqueçaba,PR
321,Aquidauana,MS
322,Jundiaí do Sul,PR
323,Palmeira,PR
324,Ponta Grossa,PR
325,Francisco Dumont,MG
326,Curitiba,PR
327,Piraquara,PR
328,Antonina,PR
329,Congonhas do Norte,MG
330,Balsa Nova,PR
331,Palmeira,PR
332,Candói,PR
333,Antonina,PR
334,Foz do Iguaçu,PR
335,Tibagi,PR
336,Morretes,PR
337,Balsa Nova,PR
338,Urubici,SC
339,Adrianópolis,PR
340,Pontal do Paraná,PR
341,Curitiba,PR
342,Joaquim Felício,MG
343,Bocaiúva do Sul,PR
344,Tibagi,PR
345,Conceição da Barra,ES
346,Lapa,PR
347,Guaraqueçaba,PR
348,Bocaiúva do Sul,PR
349,Porto Amazonas,PR
350,Guaratuba,PR
351,Jaguariaíva,PR
352,Garuva,PR
353,Apiaí,SP
354,Bonito,MS
355,Antonina,PR
356,Barra do Turvo,SP
357,Bocaiúva do Sul,PR
358,Laranjeiras do Sul,PR
359,Guaraqueçaba,PR
360,Aquidauana,MS
361,Mocambinho,BA
362,Curitiba,PR
363,Macaúbas,BA
364,Frutal,MG
365,Campina Grande do Sul,PR
366,São Joaquim,SC
367,Fênix,PR
368,Palotina,PR
369,Tunas do Paraná,PR
370,Campo Magro,PR
371,Quatro Barras,PR
372,Jundiaí do Sul,PR
373,Balsa Nova,PR
374,Curitiba,PR
375,Bonito,MS
376,Janaúba,MG
377,Itaperuçu,PR
378,Campo Largo,PR
379,Adrianópolis,PR
380,Campina Grande do Sul,PR
381,Tanque Novo,BA
382,Palmeira,PR
383,Urandi,BA
384,Catalão,GO
385,Macaúbas,BA
386,Palmeira,PR
387,João Pinheiro,MG
388,Laguna,SC
389,Paranaguá,PR
390,Bocaiúva do Sul,PR
391,Doutor Ulysses,PR
392,Curitiba,PR
393,Antonina,PR
394,Joaquim Felício,MG
395,Bonito,MS
396,Guaratuba,PR
397,Guaratuba,PR
398,Tijucas do Sul,PR
399,Garuva,SC
400,Garuva,SC
401,Piraquara,PR
402,Garuva,SC
403,Palmas,PR
404,Urubici,SC
405,Pericó,SC
406,Apiúna,SC
407,Garuva,SC
408,Doutor Ulysses,PR
409,Colombo,PR
410,São Mateus do Sul,PR
411,Grão Pará,SC
412,Ponta Grossa,PR
413,Aquidauana,MS
414,Pontal do Paraná,PR
415,Guaraqueçaba,PR
416,Bocaiúva do Sul,PR
417,Conde,BA
418,Niquelândia,GO
419,São José dos Pinhais,PR
420,Bocaiúva do Sul,PR
421,São Joaquim,SC
422,Laguna,SC
423,Una,BA
424,Araruna,PR
425,Campo Mourão,PR
426,Imbituba,SC
427,Guaraí,TO
428,Campo Mourão,PR
429,Inácio Martins,PR
430,Barbosa Ferraz,PR
431,Campo Mourão,PR
432,Santo Antônio do Caiuá,PR
